date,btc,eth,bch,ltc,xmr,dash,zec
2011/05/16,0.0268,,,,,,
2011/05/17,0.025,,,,,,
2011/05/18,0.0261,,,,,,
2011/05/19,0.0244,,,,,,
2011/05/20,0.0236,,,,,,
2011/05/21,0.0265,,,,,,
2011/05/22,0.024,,,,,,
2011/05/23,0.0227,,,,,,
2011/05/24,0.0276,,,,,,
2011/05/25,0.0278,,,,,,
2011/05/26,0.0271,,,,,,
2011/05/27,0.0254,,,,,,
2011/05/28,0.0242,,,,,,
2011/05/29,0.0252,,,,,,
2011/05/30,0.0311,,,,,,
2011/05/31,0.0296,,,,,,
2011/06/01,0.0347,,,,,,
2011/06/02,0.0344,,,,,,
2011/06/03,0.0397,,,,,,
2011/06/04,0.0618,,,,,,
2011/06/05,0.0504,,,,,,
2011/06/06,0.0545,,,,,,
2011/06/07,0.0694,,,,,,
2011/06/08,0.102,,,,,,
2011/06/09,0.107,,,,,,
2011/06/10,0.0919,,,,,,
2011/06/11,0.0641,,,,,,
2011/06/12,0.0604,,,,,,
2011/06/13,0.0637,,,,,,
2011/06/14,0.0509,,,,,,
2011/06/15,0.063,,,,,,
2011/06/16,0.0463,,,,,,
2011/06/17,0.0455,,,,,,
2011/06/18,0.041,,,,,,
2011/06/19,0.0395,,,,,,
2011/06/20,0.0314,,,,,,
2011/06/21,0.0322,,,,,,
2011/06/22,0.0268,,,,,,
2011/06/23,0.0243,,,,,,
2011/06/24,0.026,,,,,,
2011/06/25,0.0417,,,,,,
2011/06/26,0.0436,,,,,,
2011/06/27,0.038,,,,,,
2011/06/28,0.0317,,,,,,
2011/06/29,0.0344,,,,,,
2011/06/30,0.0309,,,,,,
2011/07/01,0.0282,,,,,,
2011/07/02,0.0289,,,,,,
2011/07/03,0.0251,,,,,,
2011/07/04,0.0248,,,,,,
2011/07/05,0.0285,,,,,,
2011/07/06,0.0227,,,,,,
2011/07/07,0.0228,,,,,,
2011/07/08,0.023,,,,,,
2011/07/09,0.0242,,,,,,
2011/07/10,0.0222,,,,,,
2011/07/11,0.0209,,,,,,
2011/07/12,0.0225,,,,,,
2011/07/13,0.0232,,,,,,
2011/07/14,0.0218,,,,,,
2011/07/15,0.0289,,,,,,
2011/07/16,0.0176,,,,,,
2011/07/17,0.0199,,,,,,
2011/07/18,0.0196,,,,,,
2011/07/19,0.0224,,,,,,
2011/07/20,0.0167,,,,,,
2011/07/21,0.0154,,,,,,
2011/07/22,0.0209,,,,,,
2011/07/23,0.0145,,,,,,
2011/07/24,0.0175,,,,,,
2011/07/25,0.0182,,,,,,
2011/07/26,0.0133,,,,,,
2011/07/27,0.0158,,,,,,
2011/07/28,0.013,,,,,,
2011/07/29,0.0134,,,,,,
2011/07/30,0.0127,,,,,,
2011/07/31,0.0115,,,,,,
2011/08/01,0.0127,,,,,,
2011/08/02,0.0108,,,,,,
2011/08/03,0.0115,,,,,,
2011/08/04,0.00953,,,,,,
2011/08/05,0.00906,,,,,,
2011/08/06,0.0292,,,,,,
2011/08/07,0.00717,,,,,,
2011/08/08,0.00875,,,,,,
2011/08/09,0.0115,,,,,,
2011/08/10,0.0131,,,,,,
2011/08/11,0.00932,,,,,,
2011/08/12,0.00818,,,,,,
2011/08/13,0.00929,,,,,,
2011/08/14,0.0147,,,,,,
2011/08/15,0.013,,,,,,
2011/08/16,0.0116,,,,,,
2011/08/17,0.00972,,,,,,
2011/08/18,0.00888,,,,,,
2011/08/19,0.0117,,,,,,
2011/08/20,0.00889,,,,,,
2011/08/21,0.00862,,,,,,
2011/08/22,0.011,,,,,,
2011/08/23,0.0107,,,,,,
2011/08/24,0.0131,,,,,,
2011/08/25,0.00865,,,,,,
2011/08/26,0.00575,,,,,,
2011/08/27,0.00676,,,,,,
2011/08/28,0.00728,,,,,,
2011/08/29,0.00607,,,,,,
2011/08/30,0.0114,,,,,,
2011/08/31,0.00704,,,,,,
2011/09/01,0.00651,,,,,,
2011/09/02,0.0084,,,,,,
2011/09/03,0.00566,,,,,,
2011/09/04,0.0115,,,,,,
2011/09/05,0.00819,,,,,,
2011/09/06,0.00615,,,,,,
2011/09/07,0.00822,,,,,,
2011/09/08,0.00503,,,,,,
2011/09/09,0.00614,,,,,,
2011/09/10,0.00448,,,,,,
2011/09/11,0.00429,,,,,,
2011/09/12,0.00501,,,,,,
2011/09/13,0.00386,,,,,,
2011/09/14,0.00357,,,,,,
2011/09/15,0.00606,,,,,,
2011/09/16,0.00394,,,,,,
2011/09/17,0.00465,,,,,,
2011/09/18,0.0046,,,,,,
2011/09/19,0.00484,,,,,,
2011/09/20,0.00475,,,,,,
2011/09/21,0.00403,,,,,,
2011/09/22,0.0035,,,,,,
2011/09/23,0.00375,,,,,,
2011/09/24,0.0066,,,,,,
2011/09/25,0.00324,,,,,,
2011/09/26,0.00272,,,,,,
2011/09/27,0.00384,,,,,,
2011/09/28,0.00361,,,,,,
2011/09/29,0.00298,,,,,,
2011/09/30,0.00311,,,,,,
2011/10/01,0.00355,,,,,,
2011/10/02,0.00325,,,,,,
2011/10/03,0.00713,,,,,,
2011/10/04,0.00322,,,,,,
2011/10/05,0.00346,,,,,,
2011/10/06,0.00672,,,,,,
2011/10/07,0.0035,,,,,,
2011/10/08,0.00261,,,,,,
2011/10/09,0.00224,,,,,,
2011/10/10,0.00238,,,,,,
2011/10/11,0.00359,,,,,,
2011/10/12,0.00321,,,,,,
